Original;Translated
options.mem.timing.method.hint;<b>Original</b>: usa el proceso que se muestra en el artículo original.<br><b>Criterio fijo</b>: usa la pendiente de la curva MAP para buscar el óptimo, que es el punto donde la pendiente es menor que un valor predefinido.<br><b>Slope</b>: calcula la pendiente de la curva MAP, el óptimo es el punto donde la pendiente es igual a la pendiente media global.<br><b>Second derivative</b>: calcula la segunda derivada e iguala a cero para buscar el punto de inflexión de la curva original
options.mem.thresholds.values.1;1/temporada
options.mem.thresholds.values.10;10/temporada
options.mem.thresholds.values.2;2/temporada
options.mem.thresholds.values.3;3/temporada
options.mem.thresholds.values.30;30 en total
options.mem.thresholds.values.4;4/temporada
options.mem.thresholds.values.5;5/temporada
options.mem.thresholds.values.6;6/temporada
options.mem.thresholds.values.7;7/temporada
options.mem.thresholds.values.8;8/temporada
options.mem.thresholds.values.9;9/temporada
options.mem.goodness.optimization.aditive;Aditivo
options.support.advancedfeatures.label;Características avanzadas
options.mem.thresholds.values.all;Todos
main.surveillance.surveillance.animated;Animación
options.mem.thresholds.epidemic.arithmeticmean;Media aritmética e IC de la media
options.mem.thresholds.epidemic.arithmeticprediction;Media aritmética e IC de predicción
main.model.optimize.automatic;Automática
main.surveillance.surveillance.average;Media
graphs.averagecurve;Curva media
main.model.mem.graphs.average;Curva media
options.mem.other.averagecurve.label;IC curva media
options.mem.other.averageotherci.level;Nivel curva media/otros IC
graphs.averagelength;Duración epidémica media
graphs.averagestart;Semana de inicio media
graphs.baselinelevel;Nivel basal
ui.calculating;Realizando cálculos. Espere, por favor, tardará un rato...
options.mem.other.centering.label;Centrado de las temporadas
options.language.hint;Cambia el idioma de la aplicación
options.text.main.hint;Cambia el título principal de los gráficos
options.text.xaxis.hint;Cambia la etiqueta del eje X
options.text.yaxis.hint;Cambia la etiqueta del ejeY
main.checkdescribe.label;Comprobar y describir
main.checkdescribe.hint;Comprobar y describir los datos, gráficos de temporadas y series
selections.dataset.transformation.smothing.optimum.hint;Marca esta opción si quiere que se use el valor óptimo de la regresión
selections.thresholds.pre.hint;Marque esta casilla si quiere incluir los umbrales epidémicos (y los inicios de epidemia) en los gráficos.<br>Esta opción es global y se aplicará a la mayoría de los gráficos
selections.thresholds.intensity.hint;Marque esta casilla si quiere incluir los umbrales de intensidad en los gráficos.<br>Esta opción es global y se aplicará a la mayoría de los gráficos
selections.thresholds.post.hint;Marque esta casilla si quiere incluir los umbrales posepidémicos (y los finales de epidemia) en los gráficos.<br>Esta opción es global y se aplicará a la mayoría de los gráficos
selections.dataset.processdata.hint;Marca esta casilla si quieres comprobar la numeración de las semanas y temporadas, permitiendo generar un esquema de semanas válido y unir temporadas divididas en dos. No marcar si se quieren usar los datos originales tal y como vienen
selections.dataset.transformation.loess.positive.hint;Active esta opción si quiere que se reemplacen los valores negativos con ceros
options.mem.thresholds.epidemic.uset.hint;Marque esta opción para usar la distribución t en lugar de la normal al calcular intervalos para la media. Útil cuando se tienen menos de 30 valores
