Original;Translated
options.mem.timing.method.hint;<b>Original</b>: uses the process shown in the original paper.<br><b>Fixed criterium</b>: uses the slope of the MAP curve fo find the optimum, which is the point where the slope is lower than a predefined value.<br><b>Slope</b>: calculates the slope of the MAP curve, but the optimum is the one that matches the global mean slope.<br><b>Second derivative</b>: calculates the second derivative and equals to zero to search an inflexion point in the original curve
options.mem.thresholds.values.1;1/season
options.mem.thresholds.values.10;10/season
options.mem.thresholds.values.2;2/season
options.mem.thresholds.values.3;3/season
options.mem.thresholds.values.30;30 in total
options.mem.thresholds.values.4;4/season
options.mem.thresholds.values.5;5/season
options.mem.thresholds.values.6;6/season
options.mem.thresholds.values.7;7/season
options.mem.thresholds.values.8;8/season
options.mem.thresholds.values.9;9/season
options.mem.goodness.optimization.aditive;Aditive
options.support.advancedfeatures.label;Advanced features
options.mem.thresholds.values.all;All
main.surveillance.surveillance.animated;Animated
options.mem.thresholds.epidemic.arithmeticmean;Arithmetic mean and mean confidence interval
options.mem.thresholds.epidemic.arithmeticprediction;Arithmetic mean and prediction interval
main.model.optimize.automatic;Automatic
main.surveillance.surveillance.average;Average
graphs.averagecurve;Average curve
main.model.mem.graphs.average;Average curve
options.mem.other.averagecurve.label;Average curve CI.
options.mem.other.averageotherci.level;Average curve/Other CI. level
graphs.averagelength;Average epidemic length
graphs.averagestart;Average epidemic start week
graphs.baselinelevel;Baseline level
ui.calculating;Calculation in progress. This may take a while...
options.mem.other.centering.label;Centering seasons
options.language.hint;Change the language of the application
options.text.main.hint;Change the main title in most graphs
options.text.xaxis.hint;Change the x-axis label in most graphs
options.text.yaxis.hint;Change the y-axis label in most graphs
main.checkdescribe.label;Check & describe
main.checkdescribe.hint;Check data series, timing and describe the data
selections.dataset.transformation.smothing.optimum.hint;Check this tickbox if you want SM to chose the optimum smoothing parameter
selections.thresholds.pre.hint;Check this tickbox if you want to include epidemic thresholds in the graphs.<br>This is a global option that will work on most graphs
selections.thresholds.intensity.hint;Check this tickbox if you want to include intensity thresholds in the graphs.<br>This  is a global option that will work on most graphs
selections.thresholds.post.hint;Check this tickbox if you want to include post-epidemic thresholds in the graphs.<br>This  is a global option that will work on most graphs
selections.dataset.processdata.hint;Check this tickbox if you want to process input data, rearrange weeks acording to the first/last week selection and join seasons divided in the input dataset
selections.dataset.transformation.loess.positive.hint;Check this tickbox if you want to replace negative values with zeroes
options.mem.thresholds.epidemic.uset.hint;Check this tickbox if you want to use t distribution (t-value) instead of normal distribution (z-value) for mean confidence intervals, useful when values less than 30
options.mem.thresholds.tails.label.hint;Choose if you want to use one-tailed or two-tailed confidence intervals for thresholds
selections.surveillance.force.hint;Chose a week to force the start of the epidemic period.<br>The epidemic will start at the week selected and not at the first week over the epidemic threshold
main.model.optimize.manual.clicks;Clicks
options.graphs.observedline.hint;Color of the line of observed data
options.graphs.epidemicend.hint;Color of the point of the epidemic end marker
options.graphs.epidemicstart.hint;Color of the point of the epidemic start marker
options.graphs.observedpoints.hint;Color of the points of observed data
options.mem.goodness.validation.cross;Cross
options.mem.goodness.validation.hint;Cross: Extracts one season and the model is calculated with the remaining seasons.<br>Sequential: Extract a season and the model is calculated with previous seasons only
main.model.optimize.automatic.currentparam;Current parameter
main.checkdescribe.data;Data
selections.dataset;Dataset
selections.dataset.dataset.label;Dataset
app.default;default
main.checkdescribe.goodness.description;Description
main.checkdescribe.evolution.detailed;Detailed
main.checkdescribe.goodness.detailed;Detailed
main.model.mem.detailed;Detailed
main.model.optimize.detailed;Detailed
main.checkdescribe.evolution.duration;Duration
graphs.durationlower;Duration (lower limit)
graphs.durationupper;Duration (upper limit)
graphs.duration;Duration
graphs.end;End
graphs.endcentering;End centering period
graphs.epidemic;Epidemic
main.checkdescribe.evolution.epidemicperc;Epidemic %
graphs.epidemicmiss;Epidemic (missing)
options.graphs.epidemicend.label;Epidemic end
graphs.epidemicpercentage.short;Epidemic perc.
graphs.epiperclower;Epidemic perc. (lower limit)
graphs.epipercupper;Epidemic perc. (upper limit)
graphs.epidemicpercentage;Epidemic percentage
options.graphs.epidemicstart.label;Epidemic start
graphs.prethreshold.short;Epidemic thr.
options.mem.thresholds.epidemic.label;Epidemic threshold
main.model.mem.estimators;Estimators
main.checkdescribe.evolution;Evolution
selections.model.exclude.label;Exclude
options.support.experimentalfeatures.label;Experimental features
main.checkdescribe.file;File
selections.dataset.transformation.fillmiss;Fill missings
selections.model.from.hint;First season to include in the model selection
selections.dataset.firstweek.label;First Week
selections.dataset.firstweek.hint;First week of the datasets surveillance period
options.mem.timing.method.fixed;Fixed criterium method
selections.surveillance.force.label;Force epidemic start
options.graphs.yaxis0.hint;Force y-axis to start at 0 for all plots
selections.model.from.label;From
options.mem.thresholds.epidemic.geometricmean;Geometric mean and mean confidence interval
options.mem.thresholds.epidemic.geometricprediction;Geometric mean and prediction interval
app.globalgoodnessindicators;Global goodness indicators
app.globalgoodnessintensity;Global goodness intensity
app.globalgoodnesssummary;Global goodness summary
main.checkdescribe.goodness;Goodness
options.mem.goodness;Goodness & optimize
options.graphs;Graph options
main.checkdescribe.goodness.graphs;Graphs
main.model.mem.graphs;Graphs
main.model.goodness.graphs;Graphs
main.model.optimize.graphs;Graphs
options.graphs.height.label;Graphs height
options.graphs.width.label;Graphs width
options.graphs.height.hint;Height of applications graphs
graphs.highlevel;High level
options.mem.thresholds.intensity.high.label;High lvl
graphs.highthreshold.short;High thr.
graphs.highthreshold;High threshold
options.mem.other.centering.10;Highest 10-weeks period
options.mem.other.centering.11;Highest 11-weeks period
options.mem.other.centering.12;Highest 12-weeks period
options.mem.other.centering.13;Highest 13-weeks period
options.mem.other.centering.14;Highest 14-weeks period
options.mem.other.centering.15;Highest 15-weeks period
options.mem.other.centering.1;Highest 1-week period (peak)
options.mem.other.centering.2;Highest 2-weeks period
options.mem.other.centering.3;Highest 3-weeks period
options.mem.other.centering.4;Highest 4-weeks period
options.mem.other.centering.5;Highest 5-weeks period
options.mem.other.centering.6;Highest 6-weeks period
options.mem.other.centering.7;Highest 7-weeks period
options.mem.other.centering.8;Highest 8-weeks period
options.mem.other.centering.9;Highest 9-weeks period
options.mem.other.centering.mean;Highest mean duration-weeks period
selections.dataset.dataset.hint;If the format is able to store different datasets, select the one you want to open
graphs.indicator;Indicator
main.checkdescribe.goodness.indicators;Indicators
main.checkdescribe.goodness.intensity;Intensity
options.mem.thresholds.intensity.label;Intensity thresholds
selections.thresholds.intensity.label;Intensity thresholds/levels
options.language.label;Language
selections.model.to.hint;Last season to include in the model selection
selections.dataset.lastweek.label;Last Week
selections.dataset.lastweek.hint;Last week of the datasets surveillance period
graphs.legend;Legend
graphs.level;level
main.checkdescribe.goodness.level;Level
options.mem.other.averageotherci.hint;Level of the confidence interval used to calculate the average curve and other intervals
options.mem.thresholds.intensity.high.hint;Level of the confidence interval used to calculate the high threshold
options.mem.thresholds.intensity.medium.hint;Level of the confidence interval used to calculate the medium threshold
options.mem.thresholds.intensity.veryhigh.hint;Level of the confidence interval used to calculate the very high threshold
options.graphs.levelspalette.label;Levels palette
selections.loadfile;Load file
selections.dataset.transformation.loess;Loess
selections.dataset.transformation.loess.span.label;Loess span
selections.dataset.transformation.loess.span.hint;Loess span parameter
ui.log;Log
graphs.lowlevel;Low level
graphs.lowerinterval;Lower interval
graphs.lowerlimit;Lower limit
selections.dataset.transformation.movingaverage.weeks.label;MA weeks
options.text.main.label;Main title
main.model.optimize.manual;Manual
main.checkdescribe.timing.map;MAP curve
options.mem.goodness.optimization.matthews;Matthews Correlation Coefficient
graphs.matthews;Matthews correlation coefficient
selections.model.seasons.hint;Maximum number of seasons to be used in the model.<br>Note that this will probably override the rest options, since it will restrict data to the last number of seasons from the selection already made with From/To/Exclude.<br>For influenza it is not recommended to use more than 10 seasons
graphs.meanend;Mean end
graphs.meanstart;Mean start
options.mem.thresholds.epidemic.medianbootstrap;Median and bootstrap confidence interval
options.mem.thresholds.epidemic.mediannyblom;Median and Nyblom confidence interval
graphs.mediumlevel;Medium level
options.mem.thresholds.intensity.medium.label;Medium lvl
graphs.mediumthreshold.short;Medium thr.
graphs.mediumthreshold;Medium threshold
main.model.mem;MEM
ui.memmodelsummary;MEM Model Summary
ui.memneedstwo;MEM needs at least two seasons
options.mem;MEM options
ui.memreads;memapp is able to read MSExcel(xls, xlsx), MSAccess (mdb, accdb), text (csv, dat, prn, txt), R (rds, rda, rdata), dBase (dbf), SPSS (sav), Stata (dta), SAS (sas7bdat) and OpenDocument Spreadsheet (ods)
options.mem.other.other.hint;Method for calculating other confidence intervals: duration, epidemic percentage, epidemic start, etc.
options.mem.other.average.hint;Method for calculating the average curve confidence intervals
options.mem.thresholds.epidemic.hint;Method for calculating the epidemic threshold
options.mem.thresholds.intensity.hint;Method for calculating the intensity threshold
options.mem.other.centering.hint;Method for centering seasons to calculate the average curve
options.mem.timing.method.label;Method for timing
options.mem.goodness.optimization.hint;Method to choose the optimum parameter
selections.dataset.wavesdetection.twoobserved.minimumprop.label;Minimum proportion
selections.dataset.wavesdetection.twoobserved.minimumprop.hint;Minimum proportion of one of the waves to be considered as different from the other one, otherwise, both waves are considered to be the same
selections.dataset.wavesdetection.multiple.separation.hint;Minimum separation between two seasons to be considered different
graphs.missing;missing
options.mem.goodness.optimization.mixed;Mixed
selections.model;Model
main.model.label;Model
app.modeldata;Model data
app.modelgoodnessindicators;Model goodness indicators
app.modelgoodnessintensity;Model goodness intensity
app.modelgoodnesssummary;Model goodness summary
selections.dataset.transformation.movingaverage;Moving average
selections.dataset.transformation.movingaverage.weeks.hint;Moving Average weeks
main.model.mem.graphs.moving;Moving epidemics
selections.dataset.wavesdetection.multiple.param1.hint;Multiple waves algorith parameter 1: when a rate is decided not to belong to an epidemic
selections.dataset.wavesdetection.multiple.param2.hint;Multiple waves algorith parameter 2: when a set of rates is decided not to form an independent epidemic
selections.dataset.wavesdetection.multiple;Multiple waves/series
options.mem.goodness.optimization.multiplicative;Multiplicative
options.mem.goodness.optimization.negative;Negative likehood
graphs.npv;Negative predictive value
graphs.next;next
graphs.no;No
graphs.nodataseasons;No data seasons
ui.nofile;No file or dataset selected
selections.dataset.transformation.no;No transformation
selections.dataset.wavesdetection.multiple.no.label;No. waves
ui.columnstwo;Number of columns must be greater than 2
options.mem.thresholds.values.hint;Number of values taken each season for calculate thresholds. If -1, a total of 30 points are used (30/numberofseasons). If 0, all available points are used
options.graphs.observedline.label;Observed (line)
options.graphs.observedpoints.label;Observed (points)
selections.dataset.transformation.odd;Odd
selections.dataset.wavesdetection.one;One wave/season
ui.openxlsx;openxlsx not found
app.optimization;Optimization
options.mem.goodness.optimization.label;Optimization method
main.model.optimize;Optimize
selections.dataset.transformation.smothing.optimum.label;Optimum
main.model.optimize.automatic.optimumparam;Optimum parameter
options.mem.timing.method.original;Original method
options.mem.other;Other
options.mem.other.other.label;Other CI.
options.graphs.thresholdspalette.hint;Palette used to generate color for epidemic and intensity thresholds
options.graphs.levelspalette.hint;Palette used to generate color for intensity levels
options.graphs.seasonspalette.hint;Palette used to generate the colors of the lines of the series graphs and other graphs with multiple lines
options.graphs.timingpalette.hint;Palette used to generate the colors of the points of pre, epidemic and post markers in timing graphs
selections.dataset.wavesdetection.multiple.param1.label;Param. 1
selections.dataset.wavesdetection.multiple.param2.label;Param. 2
main.model.optimize.automatic.parameter;Parameter
options.mem.goodness.optimization.paramrange.label;Parameter range
main.checkdescribe.goodness.detailed.peak;Peak
main.checkdescribe.goodness.detailed.peakweek;Peak week
graphs.percent;Percent agreement
options.mem.goodness.optimization.percent;Percent agreement
graphs.point;Point
selections.dataset.transformation.loess.positive.label;Positive
options.mem.goodness.optimization.positive;Positive likehood
graphs.ppv;Positive predictive value
graphs.postthreshold.short;Post thr.
graphs.postepidemic;Post-epidemic
graphs.postepidemicmiss;Post-epidemic (missing)
graphs.postthreshold;Post-epidemic thr.
selections.thresholds.post.label;Post-epidemic threshold
graphs.preepidemic;Pre-epidemic
graphs.preepidemicmiss;Pre-epidemic (missing)
graphs.prethreshold;Pre-epidemic thr.
selections.thresholds.pre.label;Pre-epidemic threshold
main.procedures;Procedures
selections.dataset.processdata.label;Process data
options.mem.goodness.optimization.paramrange.hint;Range of possible of values of the slope parameter used by goodness and optimize functions
options.graphs.reset;Reset
main.model.optimize.manual.results;Results
ui.rtools;Rtools not found
main.checkdescribe.evolution.scheme;Scheme
selections.surveillance.season.label;Season
selections.surveillance.season.hint;Season you want to use for surveillance applying the MEM thresholds.<br>This season can be incomplete.<br> It is recommended not to use the surveillance season in the model selection
main.checkdescribe.seasons;Seasons
selections.model.seasons.label;Seasons
graphs.modelseasons;Seasons in the model
options.graphs.seasonspalette.label;Seasons palette
options.mem.timing.method.derivative;Second derivative method
selections.model.exclude.hint;Select any number of seasons to be excluded from the model
selections.visualize.hint;Select any number of seasons to display series, seasons and timing graphs and to apply thresholds from the current model.<br>To delete a season click on it and press delete on your keyboard
selections.dataset.wavesdetection.hint;Select the number of waves in the original data or the algorith to separate diferent waves
selections.dataset.transformation.hint;Select the transformation to apply to the original data
graphs.sensitivity;Sensitivity
selections.dataset.wavesdetection.multiple.separation.label;Separation
options.mem.goodness.validation.sequential;Sequential
main.checkdescribe.series;Series
options.support.advancedfeatures.hint;Show advanced features of memapp
options.support.experimentalfeatures.hint;Show experimental features of memapp
app.showadvancedtickbox;Show the advanced features tickbox
app.showexperimentaltickbox;Show the experimental features tickbox
main.checkdescribe.timing.slope;Slope curve
options.mem.timing.method.slope;Slope method
options.mem.timing.slope.label;Slope parameter
options.mem.timing.slope.hint;Slope parameter used in fixed criterium method
selections.dataset.transformation.smothing.parameter.label;Smoothing parameter
